row_id,conversation,question_index,category,system,gpt-4o-mini_judge_label
R254,conv-50,18,1,engram v2 k=3,CORRECT
R255,conv-48,58,4,engram v2 k=3,WRONG
R256,conv-50,140,4,engram v2 k=3,CORRECT
R257,conv-48,41,1,T0R k=6,CORRECT
R258,conv-49,23,2,engram v2 k=3,CORRECT
R259,conv-50,19,1,T0R k=6,CORRECT
R260,conv-49,54,1,engram v2 k=3,CORRECT
R261,conv-47,35,3,engram v2 k=3,WRONG
R262,conv-50,57,2,engram v2 k=3,WRONG
R263,conv-49,39,2,engram v2 k=3,CORRECT
R264,conv-44,120,4,engram v2 k=3,WRONG
R265,conv-47,35,3,T0R k=6,CORRECT
R266,conv-49,22,2,T0R k=6,CORRECT
R267,conv-47,88,4,engram v2 k=3,WRONG
R268,conv-48,99,4,T0R k=6,CORRECT
R269,conv-47,33,3,T0R k=6,CORRECT
R270,conv-50,133,4,engram v2 k=3,WRONG
R271,conv-48,166,4,T0R k=6,CORRECT
R272,conv-47,76,4,engram v2 k=3,WRONG
R273,conv-50,118,4,T0R k=6,CORRECT
R274,conv-48,55,2,engram v2 k=3,WRONG
R275,conv-49,60,2,engram v2 k=3,CORRECT
R276,conv-50,63,1,T0R k=6,WRONG
R277,conv-49,6,1,engram v2 k=3,CORRECT
R278,conv-49,138,4,engram v2 k=3,WRONG
R279,conv-50,76,4,T0R k=6,WRONG
R280,conv-50,121,4,engram v2 k=3,WRONG
R281,conv-48,104,4,T0R k=6,WRONG
R282,conv-44,46,2,T0R k=6,CORRECT
R283,conv-50,0,2,engram v2 k=3,CORRECT
R284,conv-49,106,4,engram v2 k=3,WRONG
