row_id	grade	notes
R099	PARTIAL - DIFFERENT WORDING
R100	CORRECT - PARTIAL
R101	PROBABLE CORRECT. PARTIAL
R102	WRONG
R103	CORRECT
R104	WRONG
R105	WRONG
R106	CORRECT
R107	WRONG
R108	CORRECT
R109	WRONG
R110	WRONG
R111	PARTIAL
R112	CORRECT
R113	WRONG
R114	CORRECT
R115	WRONG
R116	CORRECT BUT PARTIAL
R117	WRONG
R118	CORRECT
R119	WRONG
R120	CORRECT
R121	CORRECT
R122	PARTIAL
R123	WRONG
R124	WRONG
R125	CORRECT
R126	WRONG
R127	WRONG
R128	CWRONG
R129	WRONG
R130	WRONG
R131	WRONG
R132	CORRECT
R133	WRONG
R134	WRONG
R135	WRONG
R136	WRONG
R137	WRONG
R138	WRONG
R139	WRONG
R140	WRONG
R141	CORRECT
R142	WRONG
R143	CORRECT
R144	CORRECT
R145	CORRECT
R146	CORRECT - PARTIAL
R147	WRONG
R148	WRONG
R149	CORRECT
R150	WRONG
R151	CORRECT
R152	WRONG
R153	CORRECT
R154	CORRECT
R155	CORRECT - PARTIAL
R156	CORRECT - DIFF WORDING
R157	PARTIAL
R158	WRONG
R159	WRONG
R160	CORRECT
R161	CORRECT - MAYBE RIGHT ON SPECIFICS
R162	CORRECT
R163	CORRECT - MAYBE RIGHT ON SPECIFICS
R164	CORRECT - PARTIALLY DIFF WORDING
R165	WRONG
R166	WRONG
R167	WRONG
R168	WRONG
R169	CORRECT
R170	CORRECT
R171	WRONG
R172	CORRECT - MISSING DETAILS
R173	CORRECT
R174	MAYBE CORRECT
R175	CORRECT, TOBY IS WRONG PROBABLY
R176	WRONG
R177	CORRECT
R178	WRONG
R179	WRONG
R180	CORRECT - MAYBE RIGHT ON SPECIFICS
R181	WRONG
R182	CORRECT
R183	WRONG
R184	CORRECT - MISSING DETAILS
R185	WRONG
R186	CORRECT
R187	CORRECT - MISSING DETAILS, NOT SURE ON DATES
R188	CORRECT
R189	CORRECT
R190	WRONG
R191	CORRECT
R192	CORRECT
R193	CORRECT
R194	WRONG
R195	WRONG
R196	CORRECT - MAYBE RIGHT ON SPECIFICS
R197	WRONG
R198	CORRECT
R199	WRONG
R200	WRONG
R201	CORRECT
R202	WRONG
R203	WRONG
R204	CORRECT - MISSING DETAILS
R205	WRONG
R206	CORRECT
R207	CORRECT
R208	WRONG
R209	WRONG
R210	CORRECT - MISSING SPECIFICS
R211	WRONG
R212	CORRECT
R213	CORRECT
R214	CORRECT
R215	CORRECT
R216	WRONG
R217	CORRECT
R218	WRONG
R219	CORRECT
R220	CORRECT
R221	PARTIAL CORRECT
R222	WRONG
R223	CWRONG
R224	CORRECT
R225	WRONG
R226	CORRECT
R227	CORRECT
R228	CORRECT
R229	WRONG
R230	WRONG
R231	CORRECT
R232	WRONG
R233	CORRECT - NOT SPECIFIC AND MISSING DETAILS
R234	CORRECT
R235	CORRECT
R236	CORRECT - MISSING DETAILS
R237	WRONG
R238	CORRECT
R239	WRONG
R240	WRONG
R241	CORRECT- CAN BE SAID
R242	WRONG
R243	CORRECT
R244	CORRECT
R245	CORRECT
R246	WRONG
R247	WRNG
R248	WRONG
R249	CORRECT
R250	CORRECT
R251	WRONG
R252	CLOSE WRONG
R253	CORRECT
R254	CORRECT
R255	WRONG
R256	CORRECT
R257	CORRECT
R258	CORRECT
R259	CORRECT
R260	CORRECT
R261	WRONG
R262	WRONG
R263	CORRECT
R264	WRONG
R265	CORRECT
R266	WRONG - OR PARTIAL
R267	WRONG - BUT ON THE SAME LINES, MISSING DETAILS
R268	CORRECT - MISSING DETAILS
R269	CORRECT
R270	CORRECT - BUT TOO SPECIFIC MIGHT BE WRONG
R271	CORRECT - MISSING DETAILS
R272	WRONG
R273	CORRECT
R274	WRONG
R275	CORRECT
R276	CORRECT - BUT MISSING DETAILS
R277	CORRECT
R278	WRONG
R279	CORRECT
R280	CORRECT - BUT MISSING DETAILS
R281	WRONG
R282	CORRECT
R283	CORRECT
R284	WRONG - BUT MIGHT BE TRUE
