row_id,question,gold_answer,answer,your_grade (CORRECT or WRONG),notes
R076,Which places in Canada was Evan visiting in July 2023?,"Banff, Rocky Mountains",Jasper and Banff.,,
R077,How does Calvin balance his job and personal life?,Takes it one day at a time,Takes it one day at a time.,,
R078,Has Deborah tried surfing?,yes,"Yes, Deborah has tried surfing.",,
R079,"What did Audrey do with her pups over the weekend before 4th October, 2023?",Took them to the beach,Took them to the dog park.,,
R080,When did John work with a game developer on a project?,"November 5-6, 2022","November 5-6, 2022",,
R081,Why did Dave start working on cars?,Fascinated with how machines work,Fascination with how machines work.,,
R082,When did Deborah start the yoga class in the neighborhood?,"Friday before 13 March, 2023",March 2023,,
R083,What kind of hobbies does Evan pursue?,"painting, hiking, reading books, biking, skiing, snowboarding, ice skating, swimming, camping, kayaking",Watercolor painting.,,
R084,What new suggestion did Evan give to Sam regarding his soda and candy consumption?,try flavored seltzer water and dark chocolate with high cocoa content,Flavored seltzer water instead of soda.,,
R085,What do Deborah and Jolene plan to try when they meet in a new cafe?,coffee and fresh pastries,Fresh pastries.,,
R086,What specific location in Tokyo does Calvin mention being excited to explore?,Shinjuku,Shibuya Crossing,,
R087,What inspired James to create the game character in the virtual world?,Appearance of a woman he saw during a walk,A stranger's appearance.,,
R088,What kind of foods or recipes has Sam recommended to Evan?,"grilled vegetables, grilled chicken and veggie stir-fry, poutine",Grilled chicken and veggie stir-fry.,,
R089,Are John and James fans of the same football team?,"No, James is a Liverpool fan and John is a Manchester City fan.","No, they support different teams.",,
R090,What recurring frustration does Evan experience?,Evan consistently misplaces his keys every week.,Car breakdowns and job hunting.,,
R091,What suggestion did Sam give to Evan to help with his knee issue?,Consider low-impact exercises or physical therapy,Explore fun indoor activities.,,
R092,What specific location in Tokyo does Calvin mention being excited to explore?,Shinjuku,Shinjuku,,
R093,What inspired James to create his game?,Witcher 3,Playing strategy games like Civilization.,,
R094,Why does Deborah take her cats out for a run in the park every day?,Exercise and nature are important to her,She doesn't take her cats out.,,
R095,What disagreement do James and John have about their football teams?,debating on which team will perform better in the championship,Manchester City's form and transfers.,,
R096,Where did Audrey get Pixie from?,breeder,A nearby breeder.,,
R097,Which new games did John start play during the course of the conversation with James?,"AC Valhalla, Witcher 3, FIFA 23, Dungeons of the Dragons, futuristic dystopian game",John started playing a new RPG game.,,
R098,When did James and his family visit Mark and Josh?,"November 7, 2022","November 6, 2022.",,
R099,How does Calvin describe his process of adding electronic elements to his songs?,gives them a fresh vibe,Exciting journey of self-discovery.,,
R100,What gifts has Deborah received?,"an appreciate letter from her community, a flower bouqet from her friend, a motivational quote from a friend",A bouquet from a friend.,,
R101,What kind of foods or recipes has Sam recommended to Evan?,"grilled vegetables, grilled chicken and veggie stir-fry, poutine",Roasted vegetables and lasagna.,,
R102,Are John and James fans of the same football team?,"No, James is a Liverpool fan and John is a Manchester City fan.","Yes, they are Liverpool fans.",,
R103,When did Evan go skiing in Banff?,July 2023,July 2023,,
R104,What did James learn to make in the cooking class besides omelette and meringue?,Dough,No other dishes mentioned.,,
R105,When did Evan go skiing in Banff?,July 2023,Next year (2024).,,
R106,How does Andrew feel about their search for a pet-friendly place?,Discouraged but determined,Discouraged but determined.,,
R107,Which events in Dave's life inspired him to take up auto engineering?,"attending a car show with Dad, working on an old car in a neighbor's garage when he was young, spent a summer restoring an old car with Dad",Finding an old car at ten.,,
R108,What kind of hobbies does Evan pursue?,"painting, hiking, reading books, biking, skiing, snowboarding, ice skating, swimming, camping, kayaking","Painting, skiing, snowboarding, hiking.",,
R109,How long did Jolene work on the robotics project given to her by her Professor?,four months,One month.,,
R110,Did Audrey and Andrew grow up with a pet dog?,Yes,No evidence of that.,,
R111,What is Max good at doing according to James?,catching frisbees in mid-air,Swimming and playing fetch.,,
R112,When did John spend time with his sister and dogs?,"July 21, 2022","July 21, 2022",,
R113,Which year did Evan start taking care of his health seriously?,2021,2023,,
R114,What suggestion did Sam give to Evan to help with his knee issue?,Consider low-impact exercises or physical therapy,Low-impact exercises or physical therapy.,,
R115,What kind of dream did James have recently?,a dream with a medieval castle full of puzzles and traps,A vivid dream with creative ideas.,,
R116,What are the classes that Audrey took for her dogs to?,"Positive reinforcement training class for bonding, dog training course, agility class",Agility classes and dog grooming course.,,
R117,What type of music has Dave been getting into lately?,Classic rock,Japanese music.,,
R118,What is the name of John's cousin's dog?,Luna,Luna,,
R119,Why did Audrey think positive reinforcement training is important for pets?,To have pets learn how to behave in a positive way,It builds trust and encourages good behavior.,,
R120,"What was Sam doing on December 4, 2023?",Attending a Weight Watchers meeting,Attended a Weight Watchers meeting.,,
R121,Which city is featured in the photograph Dave showed Calvin?,Boston,Boston,,
R122,When Evan did meet his future wife?,"week before August 7, 2023.",During his trip to Canada.,,
R123,What do Deborah and Jolene plan to try when they meet in a new cafe?,coffee and fresh pastries,Discuss strategies and play a card game.,,
R124,What type of training was the workshop Audrey signed up for in May 2023?,Positive reinforcement training,Bonding with pets.,,
R125,How many times did Audrey and Andew plan to hike together?,three times,Three times.,,
R126,What did Evan offer to share with Sam after talking about healthy snacks?,the recipes for cookies,New healthy snacks.,,
R127,How did Jolene feel about her progress in practicing mindfulness and gratitude?,experiencing a new level of joy and happiness,She appreciated the practice.,,
R128,Which activity did Sam resume in December 2023 after a long time?,hiking,The memories do not specify an activity Sam resumed in December 2023.,,
R129,Which of Deborah`s family and friends have passed away?,"mother, father, her friend Karlie",Deborah's dad and a friend.,,
R130,Why did Evan decide to get the bonsai tree?,motivates him to keep going through tough times,It symbolizes strength and resilience.,,
R131,When did Calvin and Frank Ocean start collaborating?,August 2022,August 2023,,
R132,How long did the trail hike that Audrey went on with her pups take?,Two hours,Two hours.,,
R133,What kind of cookies did Jolene used to bake with someone close to her?,Chocolate chip cookies,"Warm, gooey chocolate cookies.",,
R134,How did Sam suggest Evan view the setback with his broken Prius?,As a chance to explore other ways of staying active and traveling,"As a hassle, but common.",,
R135,What are the classes that Audrey took for her dogs to?,"Positive reinforcement training class for bonding, dog training course, agility class",Agility and dog training classes.,,
R136,When did Audrey get into an accident in the park?,"between October 19 and 24, 2023","Last week, on October 17, 2023.",,
R137,"What did Jolene ask Deb to help with on 13 March, 2023?",time management,No specific request mentioned.,,
R138,What are some problems that Andrew faces before he adopted Toby?,Finding the right dog and pet-friendly apartments close to open spaces,The process was both fun and annoying.,,
R139,How did Deborah's mom support her yoga practice when she first started?,attended classes with her,She was her biggest fan.,,
R140,Where did Calvin and Dave meet Frank Ocean to start collaborating?,at a festival,Tokyo,,
R141,What type of training was the workshop Audrey signed up for in May 2023?,Positive reinforcement training,Positive reinforcement training.,,
R142,What did Calvin receive as a gift from another artist?,a gold necklace with a diamond pendant,A guitar.,,
R143,Which pet did Jolene adopt first - Susie or Seraphim?,Susie,Susie,,
R144,What new suggestion did Evan give to Sam regarding his soda and candy consumption?,try flavored seltzer water and dark chocolate with high cocoa content,Try dark chocolate instead of candy.,,
R145,When did John first organize a charity tournament with his friends?,"May 7, 2022","May 7, 2022",,
R146,Which of Deborah`s family and friends have passed away?,"mother, father, her friend Karlie",Deborah's mother and father.,,
R147,What did Calvin and his friends arrange for in the park?,regular walks together,No specific arrangement mentioned.,,
R148,Which city is featured in the photograph Dave showed Calvin?,Boston,Tokyo,,
R149,"What instrument is John learning to play as of 27 March, 2022?",Drums,Drums,,
R150,Where did Audrey get Pixie from?,breeder,The memories do not specify where Audrey got Pixie from.,,
R151,"Based on the conversation, did Calvin and Dave have a meeting in Boston between August and November 2023? Answer in yes or no.",No,No.,,
R152,"Based on the conversation, did Calvin and Dave have a meeting in Boston between August and November 2023? Answer in yes or no.",No,Yes.,,
R153,How did Evan start his transformation journey two years ago?,Changed his diet and started walking regularly,"Changed diet, started walking regularly.",,
R154,What recurring frustration does Evan experience?,Evan consistently misplaces his keys every week.,Losing his keys weekly.,,
R155,What games does Jolene recommend for Deborah?,"Zelda BOTW for Switch , Animal Crossing: New Horizons, Overcooked 2","Zelda BOTW, Animal Crossing.",,
R156,How does Andrew feel about their search for a pet-friendly place?,Discouraged but determined,It's tough but hopeful.,,
R157,What do Dave and Calvin agree on regarding their pursuits?,It's fulfilling and motivating,Hard work and determination matter.,,
R158,What was the artists Calvin used to listen to when he was a kid?,Tupac and Dr. Dre,The memories do not specify any artists.,,
R159,"How many pets did Andrew have, as of September 2023?",one,No pets currently.,,
R160,What did John suggest James practice before playing FIFA 23 together?,Control with a gamepad and timing,A gamepad and timing.,,
R161,What shared activities do Dave and Calvin have?,Working on cars,Jam sessions and working on cars.,,
R162,Which country was Jolene located in during the last week of August 2023?,Brazil,Brazil,,
R163,Where did Calvin and Dave meet Frank Ocean to start collaborating?,at a festival,At a music festival in Tokyo.,,
R164,How did Jolene feel about her progress in practicing mindfulness and gratitude?,experiencing a new level of joy and happiness,She felt appreciative and connected.,,
R165,How long did Jolene work on the robotics project given to her by her Professor?,four months,"Since February 1, 2023.",,
R166,Where did Dave take a stunning photo of a waterfall?,Nearby park,The memories do not mention a waterfall.,,
R167,When did John spend time with his sister and dogs?,"July 21, 2022",John did not spend time with his sister and dogs.,,
R168,Which of James's family members have visited him in the last year?,"mother, sister",Josh and Mark.,,
R169,What did Calvin and his friends arrange for in the park?,regular walks together,Regular walks with friends.,,
R170,How does James communicate with his gaming team?,voice chat,Voice chat.,,
R171,"What cool stuff did Jolene accomplish at the retreat on 9 February, 2023?",Came up with neat solutions for her engineering project,Gained a new outlook on life.,,
R172,Which games have Jolene and her partner played together?,"Detroit, Walking Dead, Battlefield 1, It Takes Two, Overcooked 2","Overcooked 2, It Takes Two, Detroit.",,
R173,What activity does Evan do to keep himself busy while healing his knee?,Watercolor painting,Watercolor painting.,,
R174,Why did Evan apologize to his partner?,for a drunken night,For an embarrassing incident.,,
R175,Where did Andrew go during the first weekend of August 2023?,camping with girlfriend,"Camping with his girlfriend, Toby.",,
R176,Which places or events have John and James planned to meet at?,"VR Club, McGee's, baseball game",Starbucks or a beer place.,,
R177,"What did Audrey do with her pups over the weekend before 4th October, 2023?",Took them to the beach,Took them to the beach.,,
R178,Which places in Canada was Evan visiting in July 2023?,"Banff, Rocky Mountains",No specific places mentioned.,,
R179,How many months passed between Andrew adopting Buddy and Scout,one month,4 months,,
R180,What is something that Audrey often dresses up her dogs with?,Hats,Party hats.,,
R181,Has Deborah tried surfing?,yes,"No, she hasn't tried surfing.",,
R182,What did Calvin receive as a gift from another artist?,a gold necklace with a diamond pendant,A beautiful necklace with a diamond pendant.,,
R183,How many months lapsed between Sam's first and second doctor's appointment?,three months,Five months.,,
R184,What activities has Dave participated in with his friends?,"weekly visits to local parks, countryside roadtrip, celebration of the opening of his car maintenance shop, card-playing nights","Road trip, card night, jamming.",,
R185,Where did Andrew go during the first weekend of August 2023?,camping with girlfriend,Nature reserve.,,
R186,When did Evan and Sam planned a trip to the beach together?,"December, 2023",Next month (December 2023).,,
R187,Which places or events has Calvin visited in Tokyo?,"music festival, car museum, Shibuya crossing, Shinjuku","Music festival on April 20, 2023.",,
R188,"Where was James at on July 12, 2022?","Toronto, Canada",James was in Toronto.,,
R189,What type of cars does Dave work on at his shop?,"all kinds of cars, from regular maintenance to full restorations of classic cars","All kinds of cars, classic cars.",,
R190,How many times has Calvin had to deal with insurance paperwork?,two times,Once.,,
R191,How did Deborah's mom support her yoga practice when she first started?,attended classes with her,Attended her classes with her.,,
R192,Why did Evan apologize to his partner?,for a drunken night,For a drunken night incident.,,
R193,What were Deborah's mother's hobbies?,"reading, traveling, art, cooking",Reading and enjoying flowers.,,
R194,What outdoor activity did Jolene suggest doing together with Deborah?,Surfing,Scuba diving.,,
R195,When did Calvin first travel to Tokyo?,between 26 March and 20 April 2023,Calvin first traveled to Tokyo in November 2023.,,
R196,What kind of music has Calvin been creating lately?,experimenting with different genres,Electronic elements in his songs.,,
R197,What inspired James to create the game character in the virtual world?,Appearance of a woman he saw during a walk,Childhood comic sketches.,,
R198,What kind of cookies did Jolene used to bake with someone close to her?,Chocolate chip cookies,Chocolate cookies.,,
R199,How did Evan start his transformation journey two years ago?,Changed his diet and started walking regularly,Started lifting weights.,,
R200,How many roadtrips did Evan take in May 2023?,two,One road trip.,,
R201,Who is Jill?,Most likely John's partner.,Jill is John's acquaintance.,,
R202,"Which show did Deborah go to with a friend on 9 April, 2023?",an art show,No information available.,,
R203,"Which city was Calvin at on October 3, 2023?",Boston,Not specified in the memories.,,
R204,What activities has Dave participated in with his friends?,"weekly visits to local parks, countryside roadtrip, celebration of the opening of his car maintenance shop, card-playing nights",Road trip and jam session.,,
R205,How long did the trail hike that Audrey went on with her pups take?,Two hours,About an hour.,,
R206,What was the artists Calvin used to listen to when he was a kid?,Tupac and Dr. Dre,Tupac and Dr. Dre.,,
R207,"What did John organize with his friends on May 8, 2022?",A tournament for CS:GO,A charity tournament.,,
R208,For how long has Jolene had Seraphim as a pet?,one year,Since 2022.,,
R209,What disagreement do James and John have about their football teams?,debating on which team will perform better in the championship,Support for Liverpool vs. Manchester City.,,
R210,Why did Audrey think positive reinforcement training is important for pets?,To have pets learn how to behave in a positive way,Punishment is never proper for pets.,,
R211,What games does Jolene recommend for Deborah?,"Zelda BOTW for Switch , Animal Crossing: New Horizons, Overcooked 2",No recommendations mentioned.,,
R212,"What project was Jolene working on as of 1 February, 2023?",Robotics project,A huge robotics project.,,
R213,Will there be an interview required to volunteer with the organization James volunteered for?,No,"No, an interview is not necessary.",,
R214,What new item did Dave buy recently?,A vintage camera,A vintage camera.,,
R215,What kind of music has Calvin been creating lately?,experimenting with different genres,Electronic elements and different genres.,,
R216,Which country was Jolene located in during the last week of August 2023?,Brazil,Thailand,,
R217,"Which show did Deborah go to with a friend on 9 April, 2023?",an art show,An art show.,,
R218,When did Calvin meet with the creative team for his new album?,"8 June, 2023","October 3, 2023.",,
R219,What type of activities does Audrey suggest for mental stimulation of the dogs?,"puzzles, training, hide-and-seek","Puzzles, training, hide-and-seek.",,
R220,How did Sam suggest Evan view the setback with his broken Prius?,As a chance to explore other ways of staying active and traveling,As an opportunity to explore.,,
R221,Which of James's family members have visited him in the last year?,"mother, sister",James's mother.,,
R222,"When did James, Samantha and John go to the baseball game together?","September 11, 2022",They didn't go together.,,
R223,What type of place does Jolene visit to meditate?,A tranquil spot by a pond,Meditation retreat in Phuket.,,
R224,What inspired Calvin's recent music?,Struggles that people go through,Struggles people go through.,,
R225,What is something that Audrey often dresses up her dogs with?,Hats,Collars and tags.,,
R226,"Which city was Calvin at on October 3, 2023?",Boston,Boston,,
R227,What personal health incidents does Evan face in 2023?,"heart palpitations, twisted ankle, twisted ankle",Health scare and knee injury.,,
R228,What did James learn to make in the cooking class besides omelette and meringue?,Dough,Dough.,,
R229,When did Evan and Sam planned a trip to the beach together?,"December, 2023",No specific trip planned.,,
R230,What was James' big moment with Samantha in October 2023?,They decided to live together and rented an apartment not far from McGee's bar.,James and Samantha moved in together.,,
R231,What is the name of the board game John tried in September 2022?,Dungeons of the Dragon,Dungeons of the Dragon,,
R232,What is the toughest part of car restoration according to Dave?,Paying extra attention to detail,Not explicitly mentioned.,,
R233,What does help Calvin stay connected to the creative process?,Calvin stays connected to the creative process by always staying up-to-date on world events and watching documentaries about artists.,Surrounding himself with positive energy.,,
R234,Have Deborah and Jolene been to Rio de Janeiro?,yes,"Yes, both have been.",,
R235,"Considering their conversations and personal growth, what advice might Evan and Sam give to someone facing a major life transition or challenge?","Evan and Sam would likely advise embracing small, consistent changes​​, finding stress-relieving activities like hiking​​, painting, and road trips​​, and the importance of friendship and support in navigating challenges​​.",Stay positive and embrace the journey.,,
R236,What kind of places have Andrew and his girlfriend checked out around the city?,"cafes, new places to eat, open space for hikes, pet shelter, wine tasting event, park",New places to eat.,,
R237,When did Sam start working out at the gym?,"July 28, 2023","August 21, 2023.",,
R238,Which classes did Evan join in mid-August 2023?,painting classes,Painting classes.,,
R239,What activity does Evan do to keep himself busy while healing his knee?,Watercolor painting,Swimming.,,
R240,What activity helped Evan with stress and flexibility?,Yoga,Painting helped Evan with stress.,,
R241,What do Calvin and Dave use to reach their goals?,Hard work and determination,Motivation and support.,,
R242,When did Deborah start the yoga class in the neighborhood?,"Friday before 13 March, 2023",February 2023,,
R243,Where did Dave take a stunning photo of a waterfall?,Nearby park,In a nearby park.,,
R244,What kind of stress was Sam dealing with in October 2023?,work-related stress,Work stress and health concerns.,,
R245,How many months passed between Andrew adopting Buddy and Scout,one month,One month.,,
R246,How many times did Audrey and Andew plan to hike together?,three times,Twice.,,
R247,What was Dave doing in the first weekend of October 2023?,attending a car show,No specific information available.,,
R248,For how long has Jolene had Seraphim as a pet?,one year,Jolene has had Seraphim for two years.,,
R249,What was Dave doing in the first weekend of October 2023?,attending a car show,Attended a car show.,,
R250,What did Sam recently start enjoying to clear his head?,running in the mornings,Running in the mornings.,,
R251,When did Andrew and his girlfriend go fishing?,"weekend before August 24, 2023","April 15, 2023",,
R252,When did John work with a game developer on a project?,"November 5-6, 2022","November 7, 2022.",,
R253,What activity did Jolene and her partner plan to do together instead of resuming yoga?,play the console,Play video games.,,
R254,How many times has Calvin had to deal with insurance paperwork?,two times,Twice.,,
R255,What games does Jolene recommend for Deborah?,"Zelda BOTW for Switch , Animal Crossing: New Horizons, Overcooked 2",No recommendations mentioned.,,
R256,What do Dave and Calvin agree on regarding their pursuits?,It's fulfilling and motivating,Progress keeps them motivated.,,
R257,What ways do Deborah and Jolene use to enhance their yoga practice?,"candles, music, essential oils","Candles, oils, meditation, and poses.",,
R258,When did Sam start working out at the gym?,"July 28, 2023","July 28, 2023",,
R259,Which places or events has Calvin visited in Tokyo?,"music festival, car museum, Shibuya crossing, Shinjuku","Shibuya Crossing, music festival, concert.",,
R260,What personal health incidents does Evan face in 2023?,"heart palpitations, twisted ankle, twisted ankle",Knee injury and heart palpitations.,,
R261,What additional country did James visit during his trip to Canada?,Greenland,No additional country mentioned.,,
R262,Which hobby did Dave pick up in October 2023?,photography,Car modifications.,,
R263,How many months lapsed between Sam's first and second doctor's appointment?,three months,Three months.,,
R264,What type of activities does Audrey suggest for mental stimulation of the dogs?,"puzzles, training, hide-and-seek",Obedience training and agility practice.,,
R265,What additional country did James visit during his trip to Canada?,Greenland,"Nuuk, Greenland.",,
R266,When Evan did meet his future wife?,"week before August 7, 2023.",Last week of July 2023.,,
R267,"What did John organize with his friends on May 8, 2022?",A tournament for CS:GO,"John organized an event on May 7, 2022.",,
R268,What do Deborah and Jolene plan to try when they meet in a new cafe?,coffee and fresh pastries,Fresh pastries.,,
R269,Did John and James study together?,Yes,"Yes, they did.",,
R270,Why did Dave start working on cars?,Fascinated with how machines work,He found an old car to fix.,,
R271,What type of place does Jolene visit to meditate?,A tranquil spot by a pond,A tranquil spot.,,
R272,How does James communicate with his gaming team?,voice chat,By sharing tips and strategies.,,
R273,What do Calvin and Dave use to reach their goals?,Hard work and determination,Hard work and determination.,,
R274,Which pet did Jolene adopt more recently - Susie or Seraphim?,Seraphim,Susie,,
R275,Which new activity does Sam take up in October 2023?,kayaking,Kayaking,,
R276,What style of guitars does Calvin own?,"custom-made yellow guitar with an octopus on it, shiny purple guitar",Unique and special style.,,
R277,How many roadtrips did Evan take in May 2023?,two,Two road trips.,,
R278,What did Sam recently start enjoying to clear his head?,running in the mornings,Journaling and creative writing.,,
R279,What type of cars does Dave work on at his shop?,"all kinds of cars, from regular maintenance to full restorations of classic cars",Classic cars.,,
R280,"What did Calvin recently get that is a ""masterpiece on wheels""?",Ferrari,A new luxury car.,,
R281,What activity did Jolene and her partner plan to do together instead of resuming yoga?,play the console,Camping trip.,,
R282,"How many pets did Andrew have, as of September 2023?",one,One puppy.,,
R283,When did Calvin first travel to Tokyo?,between 26 March and 20 April 2023,"Calvin first traveled to Tokyo on April 20, 2023.",,
R284,What did Evan start painting years ago due to being inspired by a friend's gift?,forest scene,Watercolor painting.,,
